,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Problema
1,Grasp,"{'numIter': 20, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.046875,2,Wine
2,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",45929.323276079915,31.48460246600882,1.0609375,2,Wine
3,Grasp,"{'numIter': 50, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.034375,2,Wine
4,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.0421875,2,Wine
5,Grasp,"{'numIter': 50, 'numBest': 15, 'max_time': 1}",45977.180686779626,7.275957614183426e-12,1.04375,2,Wine
6,Grasp,"{'numIter': 100, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.0203125,2,Wine
7,Grasp,"{'numIter': 100, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.0296875,2,Wine
8,Grasp,"{'numIter': 100, 'numBest': 15, 'max_time': 1}",45977.180686779626,7.275957614183426e-12,1.025,2,Wine
9,Grasp,"{'numIter': 200, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.021875,2,Wine
10,Grasp,"{'numIter': 200, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.028125,2,Wine
11,Grasp,"{'numIter': 200, 'numBest': 15, 'max_time': 1}",45977.180686779626,7.275957614183426e-12,1.0375,2,Wine
12,Grasp,"{'numIter': 350, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.028125,2,Wine
13,Grasp,"{'numIter': 350, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.025,2,Wine
14,Grasp,"{'numIter': 350, 'numBest': 15, 'max_time': 1}",45977.180686779626,7.275957614183426e-12,1.0296875,2,Wine
15,Grasp,"{'numIter': 500, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.0234375,2,Wine
16,Grasp,"{'numIter': 500, 'numBest': 10, 'max_time': 1}",46007.951805918994,0.0,1.028125,2,Wine
17,Grasp,"{'numIter': 500, 'numBest': 15, 'max_time': 1}",45977.180686779626,7.275957614183426e-12,1.0484375,2,Wine
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",43159.16485990069,511.5594744050664,1.015625,6,Wine
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",43453.93707544757,292.9764414183509,1.015625,6,Wine
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",43489.226490274516,363.130447979165,1.015625,6,Wine
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43540.61793661705,307.2353054748058,1.015625,6,Wine
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",43538.22160010144,440.24439122875583,1.015625,6,Wine
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",43597.00927100797,325.3141984868614,1.015625,6,Wine
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",43434.77663853568,471.08210973707975,1.015625,6,Wine
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",43452.465225454136,192.09192090972783,1.015625,6,Wine
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",43254.547328757166,421.9418049570184,1.015625,6,Wine
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43494.85265997548,365.5615678055817,1.015625,6,Wine
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",43486.85555054849,327.97912328537353,1.015625,6,Wine
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",43490.83530884589,506.93005796304544,1.015625,6,Wine
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",43527.59196864777,220.66355908540515,1.015625,6,Wine
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",43290.146055524536,336.31099258179887,1.015625,6,Wine
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",43529.33338669111,435.24089606391,1.015625,6,Wine
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",43092.09848554769,532.4653977607471,1.015625,6,Wine
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",43330.59491827711,633.1016618387546,1.015625,6,Wine
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",43481.156180446225,398.8143724508838,1.015625,6,Wine
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",42911.23815499518,524.8682919263213,0.6859375,6,Wine
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",41847.53866100317,531.2748927410817,0.9296875,6,Wine
