,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",276.249298621594,1.6086613311403173,1.0609375,13
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",255.8315883705424,5.330473421797345,0.8546875,22
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",250.2230487182363,5.9004109775430065,0.9265625,22
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",259.36732635942656,5.0605930031555335,0.696875,22
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",248.98460947420804,5.449397417192812,1.01875,22
4,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",256.7548390077795,4.524503708934387,0.890625,22
5,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",249.4794793879912,2.6745299212872493,1.0203125,22
6,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",258.14973167337,2.849190097864411,1.040625,22
7,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",260.6092157208635,1.7007889491834833,1.04375,22
8,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",259.9809920379603,2.2778870164222704,1.05,22
9,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",259.717395813659,1.5348255488403586,1.0546875,22
10,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",260.19098939353603,2.052088959020202,1.0296875,22
11,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",258.4784885467298,2.4530899333144145,1.053125,22
12,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",261.5768448151876,1.9979581524816201,1.0625,22
13,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",260.30641023808454,1.2804039627191044,1.0546875,22
14,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",260.1212310260736,1.5493126471485226,1.065625,22
15,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",260.37915201249484,1.352229938539859,1.0546875,22
16,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",262.27883945416,1.5692821514003614,1.071875,22
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",260.90456107809166,1.6450592293732933,1.0609375,22
